distance_km,duration_minutes,pace,average_cadence,average_heartrate,cluster
5.0,36.8,7.21,158.0,137.0,7
5.0,34.5,6.54,162.0,134.0,7
5.0,36.1,7.12,159.0,136.0,7
5.0,35.7,7.08,161.0,135.0,7
5.0,34.8,6.57,163.0,132.0,7
5.0,36.4,7.16,157.0,138.0,7
5.0,35.0,7.0,160.0,134.0,7
5.0,35.9,7.1,158.0,135.0,7
5.0,35.3,7.03,161.0,134.0,7
5.0,36.7,7.2,157.0,137.0,7
5.0,34.9,6.58,163.0,133.0,7
5.0,35.6,7.07,160.0,135.0,7
5.0,35.1,7.01,162.0,134.0,7
5.0,36.0,7.12,159.0,136.0,7
5.0,34.6,6.54,164.0,132.0,7
5.0,35.5,7.06,160.0,135.0,7
5.0,35.4,7.04,161.0,134.0,7
5.0,36.2,7.14,157.0,137.0,7
5.0,35.2,7.02,162.0,134.0,7
5.0,35.8,7.09,159.0,135.0,7
5.0,36.3,7.15,156.0,138.0,7
5.0,34.8,6.57,163.0,132.0,7
5.0,38.0,7.36,160.0,155.0,7
5.0,39.1,7.48,158.0,154.0,7
5.0,37.5,7.3,161.0,156.0,7
5.0,39.5,7.54,157.0,157.0,7
5.0,36.8,7.21,162.0,153.0,7
5.0,38.4,7.4,159.0,155.0,7
5.0,37.0,7.24,161.0,154.0,7
5.0,39.2,7.5,157.0,155.0,7
5.0,36.5,7.18,163.0,152.0,7
5.0,38.8,7.45,158.0,156.0,7
5.0,37.2,7.26,162.0,154.0,7
5.0,38.9,7.46,157.0,155.0,7
5.0,37.6,7.31,160.0,153.0,7
5.0,36.9,7.22,162.0,152.0,7
5.0,39.0,7.48,157.0,156.0,7
5.0,37.8,7.34,159.0,154.0,7
5.0,38.3,7.39,158.0,155.0,7
5.0,36.7,7.2,163.0,152.0,7
5.0,39.3,7.52,157.0,157.0,7
5.0,37.3,7.27,162.0,154.0,7
5.0,38.6,7.43,158.0,155.0,7
5.0,36.4,7.16,164.0,151.0,7
5.0,39.4,7.52,156.0,157.0,7
5.0,36.6,7.19,163.0,152.0,7
5.0,39.7,7.56,155.0,157.0,7
5.0,37.5,7.3,161.0,154.0,7
5.0,38.1,7.37,159.0,155.0,7
5.0,37.9,7.34,160.0,154.0,7
5.0,40.0,8.0,150.0,140.0,7
5.0,38.5,7.42,148.0,138.0,7
5.0,39.2,7.5,152.0,142.0,7
5.0,41.0,8.12,151.0,141.0,7
5.0,39.8,7.56,149.0,139.0,7
5.0,40.5,8.06,150.0,140.0,7
5.0,40.2,8.01,152.0,142.0,7
5.0,39.7,7.56,149.0,139.0,7
5.0,41.2,8.14,153.0,144.0,7
5.0,40.1,8.01,150.0,141.0,7
5.0,39.4,7.53,147.0,137.0,7
5.0,40.8,8.09,154.0,145.0,7
5.0,38.8,7.45,149.0,138.0,7
5.0,39.6,7.55,151.0,140.0,7
5.0,37.9,7.34,147.0,137.0,7
5.0,40.2,8.01,152.0,142.0,7
5.0,40.0,8.0,150.0,140.0,7
5.0,40.5,8.06,151.0,141.0,7
5.0,38.9,7.46,148.0,138.0,7
5.0,39.5,7.53,149.0,139.0,7
5.0,41.0,8.12,154.0,144.0,7
5.0,39.0,7.48,149.0,137.0,7
5.0,40.7,8.08,152.0,143.0,7
5.0,39.5,7.53,147.0,138.0,7
5.0,39.3,7.51,149.0,139.0,7
5.0,39.8,7.56,150.0,140.0,7
5.0,30.6,6.06,160.0,140.0,7
5.0,31.2,6.14,162.0,142.0,7
5.0,29.8,5.56,159.0,138.0,7
5.0,32.4,6.28,165.0,142.0,7
5.0,30.1,6.0,161.0,139.0,7
5.0,30.9,6.1,160.0,140.0,7
5.0,31.0,6.12,162.0,141.0,7
5.0,29.5,5.53,159.0,137.0,7
5.0,32.0,6.24,164.0,143.0,7
5.0,30.4,6.04,161.0,139.0,7
5.0,30.5,6.06,160.0,138.0,7
5.0,31.8,6.21,163.0,140.0,7
5.0,29.9,5.58,159.0,138.0,7
5.0,30.7,6.08,161.0,139.0,7
5.0,31.5,6.18,164.0,141.0,7
5.0,29.7,5.56,159.0,137.0,7
5.0,30.2,6.02,160.0,138.0,7
5.0,31.2,6.14,162.0,139.0,7
5.0,29.4,5.52,158.0,136.0,7
5.0,30.8,6.09,161.0,139.0,7
5.0,30.3,6.03,160.0,138.0,7
5.0,31.1,6.13,163.0,140.0,7
5.0,30.0,6.0,160.0,137.0,7
5.0,29.8,5.57,159.0,136.0,7
5.0,30.9,6.1,161.0,138.0,7
5.0,31.0,6.12,162.0,139.0,7
5.0,30.2,6.02,160.0,138.0,7
5.0,29.6,5.55,158.0,137.0,7
5.0,35.0,7.0,160.0,150.0,7
5.0,36.5,7.18,162.0,152.0,7
5.0,34.8,6.57,159.0,149.0,7
5.0,37.2,7.25,161.0,151.0,7
5.0,35.8,7.09,160.0,150.0,7
5.0,36.9,7.21,163.0,152.0,7
5.0,34.5,6.54,158.0,148.0,7
5.0,36.2,7.14,162.0,151.0,7
5.0,35.4,7.05,159.0,149.0,7
5.0,36.1,7.13,161.0,150.0,7
5.0,35.1,7.02,160.0,149.0,7
5.0,36.7,7.2,162.0,151.0,7
5.0,35.6,7.07,160.0,149.0,7
5.0,34.9,6.58,159.0,148.0,7
5.0,36.3,7.15,161.0,151.0,7
5.0,35.2,7.02,160.0,149.0,7
5.0,36.0,7.12,162.0,150.0,7
5.0,35.7,7.09,160.0,149.0,7
5.0,36.8,7.21,163.0,152.0,7
5.0,35.3,7.03,160.0,149.0,7
5.0,36.6,7.19,162.0,151.0,7
5.0,35.5,7.07,160.0,149.0,7
5.0,35.9,7.1,161.0,150.0,7
5.0,36.4,7.16,162.0,151.0,7
5.0,35.2,7.02,160.0,149.0,7
5.0,36.5,7.18,163.0,152.0,7
10.0,65.2,6.32,155.0,160.0,1
10.0,67.5,6.45,152.0,162.0,1
10.0,64.8,6.32,157.0,159.0,1
10.0,66.9,6.43,154.0,160.0,1
10.0,66.3,6.39,156.0,161.0,1
10.0,68.0,6.48,153.0,162.0,1
10.0,65.7,6.36,158.0,160.0,1
10.0,66.1,6.37,154.0,159.0,1
10.0,67.2,6.44,152.0,161.0,1
10.0,66.4,6.38,157.0,160.0,1
10.0,66.8,6.42,153.0,159.0,1
10.0,65.5,6.33,159.0,160.0,1
10.0,67.0,6.42,151.0,162.0,1
10.0,64.9,6.31,160.0,159.0,1
10.0,65.9,6.36,157.0,160.0,1
10.0,66.2,6.38,154.0,161.0,1
10.0,66.5,6.4,156.0,160.0,1
10.0,64.7,6.29,161.0,159.0,1
10.0,66.7,6.41,155.0,161.0,1
10.0,65.3,6.32,159.0,160.0,1
10.0,68.4,6.52,151.0,162.0,1
10.0,66.0,6.36,154.0,160.0,1
10.0,65.6,6.34,158.0,159.0,1
10.0,67.1,6.43,152.0,161.0,1
10.0,65.9,6.36,157.0,160.0,1
10.0,66.1,6.37,154.0,160.0,1
10.0,66.3,6.38,155.0,161.0,1
10.0,65.8,6.35,159.0,159.0,1
10.0,75.0,7.3,160.0,140.0,1
10.0,74.5,7.27,162.0,142.0,1
10.0,76.2,7.37,158.0,138.0,1
10.0,75.8,7.34,161.0,139.0,1
10.0,75.3,7.31,160.0,141.0,1
10.0,75.7,7.34,159.0,140.0,1
10.0,74.8,7.28,163.0,142.0,1
10.0,75.2,7.31,160.0,140.0,1
10.0,75.1,7.31,162.0,139.0,1
10.0,75.5,7.33,161.0,141.0,1
10.0,76.0,7.36,157.0,138.0,1
10.0,75.6,7.34,160.0,139.0,1
10.0,75.4,7.32,159.0,140.0,1
10.0,74.9,7.28,164.0,142.0,1
10.0,75.7,7.34,158.0,138.0,1
10.0,75.2,7.31,162.0,139.0,1
10.0,75.0,7.3,160.0,140.0,1
10.0,75.3,7.31,159.0,141.0,1
10.0,75.5,7.33,160.0,139.0,1
10.0,74.7,7.27,165.0,143.0,1
10.0,75.1,7.31,161.0,142.0,1
10.0,75.4,7.32,159.0,141.0,1
10.0,75.8,7.34,158.0,140.0,1
10.0,74.6,7.27,164.0,143.0,1
10.0,75.2,7.31,162.0,139.0,1
10.0,75.5,7.33,160.0,145.0,1
10.0,78.2,7.48,162.0,148.0,1
10.0,76.8,7.4,159.0,147.0,1
10.0,77.4,7.44,161.0,146.0,1
10.0,74.9,7.29,158.0,145.0,1
10.0,76.2,7.36,159.0,146.0,1
10.0,75.8,7.34,160.0,147.0,1
10.0,74.6,7.27,162.0,144.0,1
10.0,76.5,7.39,161.0,148.0,1
10.0,75.2,7.31,160.0,145.0,1
10.0,77.0,7.42,163.0,149.0,1
10.0,74.1,7.24,159.0,144.0,1
10.0,76.3,7.37,160.0,147.0,1
10.0,76.0,7.36,159.0,146.0,1
10.0,75.7,7.34,160.0,147.0,1
10.0,77.5,7.45,162.0,148.0,1
10.0,75.3,7.31,160.0,145.0,1
10.0,75.0,7.3,159.0,144.0,1
10.0,78.0,7.48,163.0,149.0,1
10.0,74.8,7.28,159.0,144.0,1
10.0,76.7,7.4,161.0,147.0,1
10.0,76.0,7.36,160.0,146.0,1
10.0,75.6,7.34,160.0,145.0,1
10.0,77.2,7.42,162.0,148.0,1
10.0,75.4,7.32,159.0,144.0,1
10.0,76.4,7.38,160.0,147.0,1
10.0,75.9,7.35,160.0,146.0,1
10.0,80.0,8.0,160.0,155.0,1
10.0,78.5,7.51,162.0,152.0,1
10.0,82.3,8.13,159.0,157.0,1
10.0,81.0,8.06,161.0,154.0,1
10.0,79.2,7.55,160.0,153.0,1
10.0,83.1,8.18,158.0,159.0,1
10.0,77.8,7.47,163.0,151.0,1
10.0,80.8,8.05,161.0,155.0,1
10.0,79.5,7.57,162.0,154.0,1
10.0,81.2,8.07,159.0,156.0,1
10.0,84.0,8.24,157.0,160.0,1
10.0,78.0,7.48,164.0,150.0,1
10.0,79.8,7.59,160.0,152.0,1
10.0,82.7,8.16,158.0,158.0,1
10.0,80.9,8.05,162.0,154.0,1
10.0,77.5,7.45,165.0,151.0,1
10.0,81.5,8.09,159.0,157.0,1
10.0,80.2,8.01,160.0,154.0,1
10.0,79.0,7.54,161.0,153.0,1
10.0,78.2,7.49,163.0,150.0,1
10.0,82.0,8.12,157.0,159.0,1
10.0,76.8,7.42,166.0,150.0,1
10.0,80.5,8.03,161.0,155.0,1
10.0,79.3,7.56,162.0,154.0,1
10.0,83.5,8.21,157.0,160.0,1
10.0,80.4,8.02,160.0,154.0,1
10.0,78.3,7.5,163.0,152.0,1
10.0,70.8,7.06,162.0,155.0,1
10.0,72.5,7.15,160.0,157.0,1
10.0,69.9,6.59,164.0,154.0,1
10.0,71.2,7.07,161.0,156.0,1
10.0,69.1,6.54,163.0,155.0,1
10.0,73.0,7.18,159.0,158.0,1
10.0,70.5,7.03,162.0,154.0,1
10.0,71.8,7.1,160.0,156.0,1
10.0,69.5,6.57,164.0,154.0,1
10.0,71.0,7.06,161.0,157.0,1
10.0,69.8,6.58,163.0,155.0,1
10.0,70.2,7.01,162.0,154.0,1
10.0,72.0,7.12,160.0,157.0,1
10.0,70.0,7.0,163.0,154.0,1
10.0,71.5,7.09,160.0,156.0,1
10.0,69.4,6.56,164.0,155.0,1
10.0,70.8,7.05,162.0,155.0,1
10.0,71.9,7.11,159.0,157.0,1
10.0,69.6,6.58,164.0,154.0,1
10.0,70.4,7.02,162.0,154.0,1
10.0,70.9,7.05,161.0,155.0,1
10.0,70.3,7.02,163.0,154.0,1
10.0,72.2,7.13,160.0,157.0,1
10.0,69.3,6.55,164.0,154.0,1
10.0,70.7,7.03,162.0,155.0,1
10.0,71.3,7.07,161.0,156.0,1
10.0,70.0,7.0,163.0,154.0,1
10.0,71.0,7.06,162.0,155.0,1
10.0,69.7,6.58,164.0,154.0,1
21.1,180.0,8.3,160.0,135.0,5
21.1,185.2,8.44,162.0,137.0,5
21.1,178.5,8.25,159.0,132.0,5
21.1,182.3,8.35,161.0,134.0,5
21.1,177.1,8.2,158.0,131.0,5
21.1,183.8,8.38,163.0,136.0,5
21.1,181.0,8.31,160.0,134.0,5
21.1,179.6,8.27,159.0,133.0,5
21.1,182.8,8.36,162.0,137.0,5
21.1,183.0,8.37,164.0,138.0,5
21.1,176.5,8.18,157.0,130.0,5
21.1,180.4,8.3,160.0,135.0,5
21.1,182.9,8.36,162.0,137.0,5
21.1,178.9,8.25,159.0,132.0,5
21.1,179.7,8.27,160.0,134.0,5
21.1,176.8,8.19,157.0,131.0,5
21.1,180.9,8.32,161.0,136.0,5
21.1,184.2,8.4,164.0,138.0,5
21.1,177.9,8.23,158.0,132.0,5
21.1,183.5,8.38,162.0,137.0,5
21.1,179.4,8.27,160.0,134.0,5
21.1,180.7,8.31,161.0,135.0,5
21.1,179.2,8.26,159.0,133.0,5
21.1,181.7,8.33,162.0,137.0,5
21.1,178.6,8.24,159.0,132.0,5
21.1,160.0,7.34,165.0,155.0,5
21.1,165.0,7.45,162.0,157.0,5
21.1,162.0,8.04,164.0,153.0,5
21.1,170.0,8.01,160.0,154.0,5
21.1,158.0,7.52,168.0,155.0,5
21.1,163.0,8.07,163.0,152.0,5
21.1,159.0,7.29,166.0,154.0,5
21.1,166.0,7.48,161.0,156.0,5
21.1,161.0,8.01,165.0,155.0,5
21.1,157.0,7.5,164.0,154.0,5
21.1,164.0,8.1,162.0,151.0,5
21.1,160.0,7.58,168.0,157.0,5
21.1,163.0,8.08,163.0,154.0,5
21.1,159.0,7.55,166.0,156.0,5
21.1,161.0,8.01,165.0,153.0,5
21.1,158.0,7.52,167.0,154.0,5
21.1,165.0,7.45,160.0,152.0,5
21.1,162.0,8.04,164.0,155.0,5
21.1,159.0,7.55,167.0,154.0,5
21.1,157.0,7.49,169.0,153.0,5
21.1,166.0,7.48,162.0,154.0,5
21.1,160.0,7.57,168.0,155.0,5
21.1,164.0,8.1,163.0,152.0,5
21.1,161.0,8.01,165.0,154.0,5
21.1,159.0,7.55,166.0,155.0,5
21.1,162.0,8.04,164.0,153.0,5
21.1,160.0,7.57,167.0,154.0,5
21.1,165.0,7.45,161.0,153.0,5
21.1,163.0,8.08,163.0,154.0,5
21.1,200.0,9.27,165.0,147.0,0
21.1,210.0,9.55,160.0,149.0,0
21.1,195.0,9.11,162.0,146.0,0
21.1,205.0,9.39,167.0,148.0,0
21.1,202.0,9.31,163.0,147.0,0
21.1,198.0,9.19,166.0,148.0,0
21.1,203.0,9.34,164.0,147.0,0
21.1,199.0,9.22,161.0,146.0,0
21.1,204.0,9.37,165.0,148.0,0
21.1,206.0,9.42,168.0,149.0,0
21.1,197.0,9.17,162.0,147.0,0
21.1,204.0,9.37,164.0,146.0,0
21.1,192.0,9.03,160.0,145.0,0
21.1,201.0,9.27,163.0,147.0,0
21.1,198.0,9.2,164.0,146.0,0
21.1,209.0,9.5,166.0,149.0,0
21.1,193.0,9.06,161.0,146.0,0
21.1,200.0,9.25,163.0,147.0,0
21.1,196.0,9.14,162.0,146.0,0
21.1,204.0,9.37,165.0,148.0,0
21.1,202.0,9.31,164.0,147.0,0
21.1,210.0,9.55,167.0,149.0,0
21.1,192.0,9.03,160.0,145.0,0
21.1,203.0,9.34,164.0,147.0,0
21.1,199.0,9.22,162.0,146.0,0
21.1,180.0,8.3,155.0,135.0,5
21.1,182.5,8.37,153.0,137.0,5
21.1,179.8,8.28,157.0,134.0,5
21.1,181.7,8.34,154.0,136.0,5
21.1,183.2,8.38,152.0,138.0,5
21.1,177.9,8.22,156.0,133.0,5
21.1,180.6,8.3,155.0,134.0,5
21.1,182.0,8.34,154.0,136.0,5
21.1,179.1,8.26,157.0,134.0,5
21.1,183.5,8.39,152.0,139.0,5
21.1,180.3,8.3,155.0,135.0,5
21.1,182.2,8.35,153.0,137.0,5
21.1,181.2,8.32,154.0,136.0,5
21.1,179.4,8.27,157.0,134.0,5
21.1,180.8,8.31,155.0,135.0,5
21.1,182.7,8.36,152.0,138.0,5
21.1,179.7,8.28,157.0,134.0,5
21.1,180.9,8.31,154.0,135.0,5
21.1,183.1,8.38,153.0,137.0,5
21.1,181.0,8.32,154.0,136.0,5
21.1,182.3,8.35,153.0,137.0,5
21.1,180.5,8.3,155.0,135.0,5
21.1,182.0,8.34,154.0,136.0,5
21.1,179.9,8.28,157.0,134.0,5
21.1,180.2,8.3,155.0,135.0,5
21.1,183.0,8.37,152.0,137.0,5
21.1,181.5,8.32,154.0,136.0,5
21.1,179.6,8.28,157.0,134.0,5
21.1,180.7,8.31,155.0,135.0,5
21.1,185.0,8.45,165.0,140.0,5
21.1,190.0,8.57,164.0,142.0,0
21.1,180.0,8.29,162.0,138.0,5
21.1,195.0,9.11,166.0,143.0,0
21.1,187.0,8.49,165.0,139.0,5
21.1,182.0,8.34,163.0,137.0,5
21.1,188.0,8.5,164.0,138.0,0
21.1,192.0,9.02,165.0,140.0,0
21.1,184.0,8.39,164.0,137.0,5
21.1,186.0,8.45,165.0,138.0,5
21.1,189.0,8.53,165.0,139.0,0
21.1,181.0,8.31,162.0,137.0,5
21.1,192.0,9.02,166.0,140.0,0
21.1,183.0,8.36,163.0,138.0,5
21.1,186.0,8.45,164.0,138.0,5
21.1,188.0,8.51,164.0,139.0,0
21.1,189.0,8.53,165.0,139.0,0
21.1,184.0,8.39,164.0,138.0,5
21.1,185.0,8.43,165.0,139.0,5
21.1,187.0,8.49,165.0,140.0,5
21.1,180.0,8.29,162.0,137.0,5
21.1,193.0,9.05,166.0,141.0,0
21.1,182.0,8.34,163.0,137.0,5
21.1,188.0,8.51,164.0,138.0,0
21.1,185.0,8.43,165.0,139.0,5
21.1,186.0,8.45,165.0,139.0,5
42.2,420.0,9.56,150.0,135.0,8
42.2,415.2,9.47,152.0,132.0,8
42.2,425.5,10.0,149.0,134.0,8
42.2,410.3,9.39,153.0,136.0,8
42.2,415.8,9.48,152.0,133.0,8
42.2,418.7,9.52,151.0,134.0,8
42.2,423.1,9.58,150.0,135.0,8
42.2,418.3,9.52,151.0,134.0,8
42.2,422.0,9.56,150.0,135.0,8
42.2,419.6,9.53,151.0,134.0,8
42.2,414.5,9.46,152.0,132.0,8
42.2,427.2,10.04,149.0,136.0,8
42.2,413.9,9.45,152.0,133.0,8
42.2,416.7,9.49,151.0,134.0,8
42.2,421.5,9.55,150.0,135.0,8
42.2,417.1,9.5,151.0,134.0,8
42.2,420.5,9.55,150.0,135.0,8
42.2,418.9,9.52,151.0,134.0,8
42.2,422.5,9.57,150.0,135.0,8
42.2,415.0,9.47,152.0,132.0,8
42.2,423.6,9.58,149.0,136.0,8
42.2,417.8,9.51,151.0,134.0,8
42.2,419.2,9.53,151.0,134.0,8
42.2,414.0,9.45,152.0,132.0,8
42.2,420.8,9.55,150.0,135.0,8
42.2,350.0,8.19,150.0,130.0,3
42.2,360.0,8.3,155.0,132.0,3
42.2,345.0,8.07,148.0,129.0,3
42.2,355.0,8.21,152.0,131.0,3
42.2,340.0,8.0,149.0,128.0,3
42.2,355.0,8.21,153.0,131.0,3
42.2,365.0,8.36,154.0,133.0,3
42.2,348.0,8.11,150.0,130.0,3
42.2,362.0,8.31,155.0,134.0,3
42.2,355.0,8.21,154.0,132.0,3
42.2,352.0,8.18,152.0,130.0,3
42.2,340.0,8.0,149.0,128.0,3
42.2,356.0,8.22,153.0,131.0,3
42.2,342.0,8.04,149.0,129.0,3
42.2,353.0,8.19,151.0,130.0,3
42.2,347.0,8.1,150.0,129.0,3
42.2,360.0,8.3,155.0,132.0,3
42.2,355.0,8.21,154.0,131.0,3
42.2,349.0,8.13,150.0,130.0,3
42.2,345.0,8.07,149.0,128.0,3
42.2,357.0,8.24,155.0,132.0,3
42.2,342.0,8.04,149.0,128.0,3
42.2,346.0,8.09,150.0,129.0,3
42.2,351.0,8.16,152.0,130.0,3
42.2,353.0,8.19,153.0,131.0,3
42.2,340.0,8.0,149.0,128.0,3
42.2,348.0,8.11,150.0,130.0,3
42.2,345.0,8.07,149.0,129.0,3
42.2,353.0,8.19,152.0,131.0,3
42.2,300.0,7.05,160.0,140.0,6
42.2,310.0,7.18,162.0,142.0,6
42.2,290.0,6.5,159.0,138.0,6
42.2,305.0,7.12,161.0,139.0,6
42.2,315.0,7.25,163.0,141.0,6
42.2,298.0,7.01,160.0,142.0,6
42.2,295.0,6.57,161.0,139.0,6
42.2,305.0,7.12,159.0,140.0,6
42.2,298.0,7.01,162.0,138.0,6
42.2,312.0,7.22,164.0,141.0,6
42.2,300.0,7.05,160.0,139.0,6
42.2,305.0,7.12,158.0,140.0,6
42.2,290.0,6.5,159.0,138.0,6
42.2,308.0,7.15,164.0,142.0,6
42.2,312.0,7.22,165.0,143.0,6
42.2,301.0,7.05,161.0,139.0,6
42.2,320.0,7.33,163.0,144.0,6
42.2,299.0,7.02,160.0,140.0,6
42.2,305.0,7.12,162.0,141.0,6
42.2,310.0,7.18,164.0,142.0,6
42.2,297.0,7.0,159.0,139.0,6
42.2,307.0,7.14,163.0,142.0,6
42.2,303.0,7.09,161.0,140.0,6
42.2,296.0,6.59,159.0,138.0,6
42.2,312.0,7.22,166.0,144.0,6
42.2,390.0,9.12,155.0,150.0,8
42.2,400.0,9.26,157.0,152.0,8
42.2,385.0,9.04,154.0,149.0,3
42.2,395.0,9.18,156.0,151.0,8
42.2,410.0,9.39,153.0,150.0,8
42.2,400.0,9.26,154.0,149.0,8
42.2,429.0,10.29,152.0,151.0,8
42.2,370.0,9.14,157.0,148.0,3
42.2,405.0,9.32,155.0,150.0,8
42.2,415.0,9.47,154.0,152.0,8
42.2,405.0,9.32,156.0,149.0,8
42.2,385.0,9.04,158.0,148.0,3
42.2,398.0,9.22,155.0,150.0,8
42.2,420.0,10.28,152.0,149.0,8
42.2,390.0,9.12,157.0,151.0,8
42.2,385.0,9.04,155.0,149.0,3
42.2,410.0,9.39,154.0,150.0,8
42.2,395.0,9.18,156.0,151.0,8
42.2,385.0,9.04,157.0,148.0,3
42.2,400.0,9.26,154.0,150.0,8
42.2,390.0,9.12,157.0,151.0,8
42.2,415.0,9.47,153.0,149.0,8
42.2,385.0,9.04,158.0,148.0,3
42.2,405.0,9.32,155.0,150.0,8
42.2,392.0,9.14,156.0,149.0,8
42.2,418.0,9.51,152.0,151.0,8
42.2,370.0,9.14,159.0,148.0,3
42.2,400.0,9.26,154.0,149.0,8
42.2,385.0,9.04,157.0,150.0,3
42.2,410.0,9.39,154.0,149.0,8
42.2,390.0,9.12,157.0,151.0,8
42.2,385.0,9.04,155.0,149.0,3
42.2,380.0,8.59,155.0,140.0,3
42.2,385.5,9.06,152.0,138.0,3
42.2,390.2,9.11,157.0,142.0,8
42.2,385.0,9.05,154.0,139.0,3
42.2,387.0,9.07,156.0,141.0,8
42.2,378.0,8.54,153.0,139.0,3
42.2,382.0,9.0,155.0,140.0,3
42.2,388.0,9.08,157.0,142.0,8
42.2,383.2,9.02,154.0,139.0,3
42.2,386.5,9.05,155.0,140.0,8
42.2,384.0,9.03,154.0,139.0,3
42.2,389.3,9.09,156.0,141.0,8
42.2,377.0,8.53,153.0,138.0,3
42.2,381.5,8.58,154.0,139.0,3
